,ResponseId,MainBranch,Age,Employment,RemoteWork,Check,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,TechDoc,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,BuyNewTool,BuildvsBuy,TechEndorse,Country,Currency,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,LanguageAdmired,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,DatabaseAdmired,PlatformHaveWorkedWith,PlatformWantToWorkWith,PlatformAdmired,WebframeHaveWorkedWith,WebframeWantToWorkWith,WebframeAdmired,EmbeddedHaveWorkedWith,EmbeddedWantToWorkWith,EmbeddedAdmired,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,MiscTechAdmired,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,ToolsTechAdmired,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,NEWCollabToolsAdmired,OpSysPersonal use,OpSysProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackAsyncAdmired,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,OfficeStackSyncAdmired,AISearchDevHaveWorkedWith,AISearchDevWantToWorkWith,AISearchDevAdmired,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOHow,SOComm,AISelect,AISent,AIBen,AIAcc,AIComplex,AIToolCurrently Using,AIToolInterested in Using,AIToolNot interested in Using,AINextMuch more integrated,AINextNo change,AINextMore integrated,AINextLess integrated,AINextMuch less integrated,AIThreat,AIEthics,AIChallenges,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Knowledge_8,Knowledge_9,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,Frustration,ProfessionalTech,ProfessionalCloud,ProfessionalQuestion,Industry,JobSatPoints_1,JobSatPoints_4,JobSatPoints_5,JobSatPoints_6,JobSatPoints_7,JobSatPoints_8,JobSatPoints_9,JobSatPoints_10,JobSatPoints_11,SurveyLength,SurveyEase,ConvertedCompYearly,JobSat
1826,1827,I am a developer by profession,55-64 years old,"Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",Apples,Hobby;Bootstrapping a business;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Colleague;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc)","Technical documentation;Blogs;Books;Stack Overflow;Social Media;How-to videos;Online challenges (e.g., daily or weekly coding challenges)",API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine,43,38,Research & Development role,2 to 9 employees,I have a great deal of influence,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,Is set up to be customized and needs to be engineered into a usable product,APIs,Australia,AUD	Australian dollar,160000.0,Assembly;C;C++;HTML/CSS;Java;JavaScript;MATLAB;PowerShell;SQL;TypeScript,Assembly;C;C++;HTML/CSS;Java;JavaScript,Assembly;C;C++;HTML/CSS;Java;JavaScript,Microsoft SQL Server;MySQL,Microsoft SQL Server;MySQL,Microsoft SQL Server;MySQL,Google Cloud;Microsoft Azure,,,ASP.NET;Express;Node.js;React,ASP.NET;Node.js,ASP.NET;Node.js,Arduino;CMake;MSVC,Arduino,Arduino,.NET Framework (1.0 - 4.8);DirectX;Electron;MFC;OpenGL;TensorFlow,MFC;OpenGL;TensorFlow,MFC;OpenGL;TensorFlow,Godot;npm,npm,npm,Android Studio;Notepad++;Vim;Visual Studio;Visual Studio Code,Notepad++;Visual Studio;Visual Studio Code,Notepad++;Visual Studio;Visual Studio Code,Android;Windows,Android;Windows,,,,Discord;Google Chat;Google Meet;Skype;Zoom,Google Chat;Google Meet;Zoom,Google Chat;Google Meet;Zoom,Bing AI;Visual Studio Intellicode,Visual Studio Intellicode,Visual Studio Intellicode,Stack Overflow;Stack Exchange;Stack Overflow Blog or Podcast;Overflow API,Daily or almost daily,Yes,Daily or almost daily,Other (please specify):,"No, not at all","No, and I don't plan to",,,,,,,,,,,,,,,,Yes,Individual contributor,40.0,Agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,1-2 times a week,Never,Never,15-30 minutes a day,30-60 minutes a day,Amount of technical debt;Number of software tools in use,Microservices,Hybrid (on-prem and cloud),A coworker,Software Development,20.0,0.0,0.0,10.0,20.0,0.0,0.0,50.0,0.0,Appropriate in length,Easy,105706.0,9.0
1988,1989,I am a developer by profession,18-24 years old,"Student, full-time;Employed, part-time",Remote,Apples,Hobby;Contribute to open-source projects;School or academic work,Some college/university study without earning a degree,"Other online resources (e.g., videos, blogs, forum, online community);Friend or family member",Technical documentation;Stack Overflow;Video-based Online Courses,API document(s) and/or SDK document(s);Traditional public search engine,8,Less than 1 year,"Developer, desktop or enterprise applications",2 to 9 employees,I have little or no influence,Ask developers I know/work with;Read ratings or reviews on third party sites like G2 Crowd,,Quality support system;Connected to an open source project,Australia,AUD	Australian dollar,,C;Delphi;Python;Rust;Zig,Rust;Zig,Rust;Zig,MySQL;SQLite,PostgreSQL;SQLite,SQLite,Digital Ocean;Fly.io,Fly.io;Hetzner,Fly.io,Django,Deno;Django,Django,Cargo,Cargo,Cargo,GTK,,,Docker;Nix,Kubernetes;Nix;Podman,Nix,"Helix;IntelliJ IDEA;Rad Studio (Delphi, C++ Builder)",Helix,Helix,Other Linux-based,Other Linux-based;Windows,Microsoft Planner,,,Discord;Microsoft Teams;Whatsapp,IRC;Jitsi;Matrix;Zulip,,ChatGPT,,,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,Quickly finding code solutions;Learning new-to-me technology/techniques,"No, not at all","No, and I don't plan to",,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Easy,,
1992,1993,"I am not primarily a developer, but I write code sometimes as part of my work/studies",35-44 years old,"Independent contractor, freelancer, or self-employed",Remote,Apples,Hobby;Contribute to open-source projects;Freelance/contract work,"Associate degree (A.A., A.S., etc.)","Other online resources (e.g., videos, blogs, forum, online community)",Technical documentation;Written Tutorials;Stack Overflow;Social Media,API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine,25,21,System administrator,"Just me - I am a freelancer, sole proprietor, etc.",I have a great deal of influence,Start a free trial;Visit developer communities like Stack Overflow;Other (please specify):,Is ready-to-go but also customizable for growth and targeted use cases,Reputation for quality and excellence;Connected to an open source project,Australia,AUD	Australian dollar,,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Rust,Bash/Shell (all shells);HTML/CSS;JavaScript;Python,MariaDB;SQLite,MariaDB;SQLite,MariaDB;SQLite,Cloudflare,Cloudflare,Cloudflare,Node.js;WordPress,Node.js;Strapi;Svelte;WordPress,Node.js;WordPress,,,,,,,Pacman,Godot;Pacman,Pacman,Kate;Nano;Vim,Kate;Nano,Kate;Nano,Android;Arch;BSD;Ubuntu,Android;Arch;BSD;Ubuntu,GitHub Discussions;Trello,GitHub Discussions;Trello,GitHub Discussions;Trello,Jitsi;Signal;Telegram;Zoom,Jitsi;Signal,Jitsi;Signal,,,,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,"No, not really","No, and I don't plan to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,,
2046,2047,I am a developer by profession,35-44 years old,"Employed, full-time",In-person,Apples,Contribute to open-source projects,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification","Technical documentation;Books;Written Tutorials;Stack Overflow;Online challenges (e.g., daily or weekly coding challenges)",API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base,21,15,Other (please specify):,100 to 499 employees,I have some influence,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Customization;Quality support system;Reputation for quality and excellence,Australia,AUD	Australian dollar,120000.0,Bash/Shell (all shells);C;C++;Python;R,C;C++;Go;Python;Rust;Zig,C;C++;Python,PostgreSQL,,,Amazon Web Services (AWS),,,,,,CMake;GNU GCC;LLVM's Clang,Catch2;CMake;GNU GCC;LLVM's Clang;Meson,CMake;GNU GCC;LLVM's Clang,Apache Kafka;NumPy,,,Docker;Kubernetes;Make,Ansible;Docker;Kubernetes,Docker;Kubernetes,Eclipse;Jupyter Notebook/JupyterLab;Vim,Eclipse;Vim,Eclipse;Vim,Ubuntu,Ubuntu,Confluence;GitHub Discussions;Jira;Markdown File;Miro,Confluence;GitHub Discussions;Jira;Markdown File;Miro,Confluence;GitHub Discussions;Jira;Markdown File;Miro,Microsoft Teams;Slack;Zoom,Slack;Zoom,Slack;Zoom,ChatGPT,,,Stack Overflow;Stack Exchange;Stack Overflow Blog or Podcast,Daily or almost daily,Yes,A few times per month or weekly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Showcase expertise with code solutions,"Yes, somewhat","No, and I don't plan to",,,,,,,,,,,,,,,,Yes,Individual contributor,16.0,Strongly agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,1-2 times a week,10+ times a week,1-2 times a week,30-60 minutes a day,60-120 minutes a day,Amount of technical debt;Number of software tools in use;Complexity of tech stack for deployment;Complexity of tech stack for build;Patching/updating core components;Reliability of tools/systems used in work,DevOps function;Automated testing;Observability tools;Knowledge sharing community;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Other:,0.0,20.0,0.0,10.0,10.0,10.0,50.0,20.0,0.0,Appropriate in length,Easy,79279.0,8.0
2127,2128,I am a developer by profession,35-44 years old,"Independent contractor, freelancer, or self-employed",Remote,Apples,Hobby;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification","Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Social Media;How-to videos;Video-based Online Courses;Written-based Online Courses;Certification videos;Online challenges (e.g., daily or weekly coding challenges)",API document(s) and/or SDK document(s);User guides or README files found in the source repository,19,14,"Developer, full-stack",2 to 9 employees,I have a great deal of influence,Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,Out-of-the-box is ready to go with little need for customization,APIs;Integrated developer community;Reputation for quality and excellence;Connected to an open source project,Australia,AUD	Australian dollar,166000.0,C#;JavaScript;PowerShell;SQL;TypeScript,C#;Rust,C#,Microsoft SQL Server,Microsoft SQL Server;PostgreSQL,Microsoft SQL Server,Amazon Web Services (AWS),Amazon Web Services (AWS);Microsoft Azure,Amazon Web Services (AWS),ASP.NET;ASP.NET CORE;jQuery,ASP.NET;ASP.NET CORE;React;Vue.js,ASP.NET;ASP.NET CORE,,,,.NET (5+) ;.NET Framework (1.0 - 4.8);React Native,.NET (5+) ,.NET (5+) ,Docker;MSBuild;NuGet;Visual Studio Solution,Docker;Kubernetes,Docker,Notepad++;Rider;Visual Studio;Visual Studio Code,Nano;Notepad++;Visual Studio;Visual Studio Code,Notepad++;Visual Studio;Visual Studio Code,Windows,iOS;MacOS;Other Linux-based;Windows,,,,Slack,Slack,Slack,ChatGPT;Visual Studio Intellicode,Visual Studio Intellicode,Visual Studio Intellicode,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per week,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Showcase expertise with code solutions;Engage with community by commenting on questions and answers or voting on questions and answers;Learning new-to-me technology/techniques;Learning new-to-everyone technology/techniques,"Yes, definitely",Yes,Indifferent,Greater efficiency,Neither trust nor distrust,Bad at handling complex tasks,Search for answers,,,,Search for answers,,,,I'm not sure,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities,"Don’t trust the output or answers;They create more work (more code/PRs to review, etc.)",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,109670.0,
2213,2214,"I am not primarily a developer, but I write code sometimes as part of my work/studies",35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Professional development or self-paced learning from online courses,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","On the job training;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification",Blogs;Stack Overflow;Social Media;How-to videos;Interactive tutorial;Video-based Online Courses;AI;Certification videos,,2,2,Cloud infrastructure engineer,20 to 99 employees,I have some influence,Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd;Research companies that have advertised on sites I visit,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Reputation for quality and excellence,Australia,AUD	Australian dollar,,PowerShell,HTML/CSS;TypeScript,,Microsoft SQL Server;MySQL,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,Microsoft Azure,,,,,,,,,,,,,Notepad++;Visual Studio Code,Notepad++;Visual Studio Code,Notepad++;Visual Studio Code,Windows,Windows,Lucid;Microsoft Lists;Microsoft Planner;Trello,Azure Devops,,Microsoft Teams;Whatsapp;Zoom,Microsoft Teams;Whatsapp;Zoom,Microsoft Teams;Whatsapp;Zoom,ChatGPT;Visual Studio Intellicode,Bing AI;ChatGPT;Visual Studio Intellicode,ChatGPT;Visual Studio Intellicode,Stack Exchange,A few times per week,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Engage with community by commenting on questions and answers or voting on questions and answers;Learning new-to-me technology/techniques;Learning new-to-everyone technology/techniques,"No, not really","No, but I plan to soon",Very favorable,,,,,,,,,,,,No,Circulating misinformation or disinformation;Biased results that do not represent diverse viewpoints;Imitating a person's likeness,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Too long,Easy,,
2306,2307,"I used to be a developer by profession, but no longer am",45-54 years old,"Employed, part-time",In-person,Apples,Hobby;Contribute to open-source projects,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Colleague;On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Friend or family member",Technical documentation;Blogs;Stack Overflow;Social Media;Interactive tutorial,API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine,35,,Educator,,,,,,Australia,,,Bash/Shell (all shells);HTML/CSS;Java;Python,Dart;Python,Python,,,,,,,,,,,,,GTK,Flutter,,Pip,Pip,Pip,Eclipse,Android Studio;Eclipse,Eclipse,Ubuntu,Ubuntu,,,,Whatsapp,Whatsapp,Whatsapp,,,,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per month or weekly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Learning new-to-me technology/techniques,"No, not really","No, and I don't plan to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,,
2311,2312,I am a developer by profession,25-34 years old,"Independent contractor, freelancer, or self-employed",Remote,Apples,Hobby;Contribute to open-source projects;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification;Friend or family member",Technical documentation;Blogs;Stack Overflow;Social Media,API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine,17,10,"Developer, full-stack",20 to 99 employees,I have little or no influence,Start a free trial;Read ratings or reviews on third party sites like G2 Crowd,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Integrated developer community;Reputation for quality and excellence;Frequent updates to features,Australia,AUD	Australian dollar,,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;R;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;PHP;R;Rust;TypeScript,Bash/Shell (all shells);HTML/CSS;PHP;R;TypeScript,MariaDB;Microsoft SQL Server;MongoDB;MySQL,MariaDB;MongoDB;MySQL;PostgreSQL,MariaDB;MongoDB;MySQL,Cloudflare;Digital Ocean,Cloudflare;Digital Ocean;Heroku;Vercel,Cloudflare;Digital Ocean,Drupal;Express;jQuery;Next.js;Node.js;React;Vue.js;WordPress,Deno;Node.js;Nuxt.js;Solid.js;Strapi;Vue.js;WordPress,Node.js;Vue.js;WordPress,Cargo,Cargo,Cargo,React Native;Tidyverse,Tidyverse,Tidyverse,Composer;Docker;npm;pnpm;Webpack,Composer;Docker;Vite,Composer;Docker,Neovim;Vim;Visual Studio Code,Neovim;Vim,Neovim;Vim,Arch;Windows,Arch;Other Linux-based;Windows,Asana;Monday.com,Asana,Asana,Discord;Microsoft Teams;Slack,,,ChatGPT;Codeium;Google Gemini,ChatGPT;Codeium,ChatGPT;Codeium,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Engage with community by commenting on questions and answers or voting on questions and answers;Learning new-to-me technology/techniques,"Yes, definitely",Yes,Favorable,Increase productivity,Somewhat distrust,Bad at handling complex tasks,Writing code;Documenting code;Search for answers,Debugging and getting help;Testing code;Committing and reviewing code,Learning about a codebase;Project planning;Deployment and monitoring;Predictive analytics;Generating content or synthetic data,,Search for answers,Writing code;Documenting code,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge",Yes,Individual contributor,10.0,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,1-2 times a week,3-5 times a week,1-2 times a week,60-120 minutes a day,15-30 minutes a day,,DevOps function;Developer portal or other central places to find tools/services,Cloud only (single or multi-cloud),Traditional public search engine,Media & Advertising Services,30.0,0.0,0.0,30.0,0.0,20.0,20.0,0.0,0.0,Appropriate in length,Neither easy nor difficult,,7.0
2319,2320,I am a developer by profession,18-24 years old,"Independent contractor, freelancer, or self-employed",Remote,Apples,Hobby;Contribute to open-source projects,Some college/university study without earning a degree,"Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community)",Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Coding sessions (live or recorded);Social Media;How-to videos,API document(s) and/or SDK document(s);User guides or README files found in the source repository,10,10,"Developer, full-stack","Just me - I am a freelancer, sole proprietor, etc.",I have a great deal of influence,Start a free trial;Ask developers I know/work with,Is set up to be customized and needs to be engineered into a usable product,APIs;Customization;Connected to an open source project,Australia,AUD	Australian dollar,,C;Clojure;Elixir;Erlang;Go;Haskell;HTML/CSS;JavaScript;Lisp;Lua;OCaml;Ruby;Rust;SQL;TypeScript;Zig,Ada;Scala,,Clickhouse;InfluxDB;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite,,,"Cloudflare;Digital Ocean;Linode, now Akamai;OVH;Vultr",,,Astro;Deno;Express;Fastify;Node.js;Nuxt.js;React;Svelte;Vue.js,Deno;Fastify;Htmx;Node.js;Svelte;Vue.js,Deno;Fastify;Node.js;Svelte;Vue.js,Arduino;Cargo;GNU GCC;Rasberry Pi,Arduino;Cargo;GNU GCC;LLVM's Clang;Rasberry Pi,Arduino;Cargo;GNU GCC;Rasberry Pi,,,,Bun;Chocolatey;Docker;Make;Vite,Bun;Docker;Kubernetes;Make;Vite,Bun;Docker;Make;Vite,DataGrip;Goland;IntelliJ IDEA;Neovim;Vim;WebStorm,DataGrip;Goland;IntelliJ IDEA;Neovim;Vim;WebStorm,DataGrip;Goland;IntelliJ IDEA;Neovim;Vim;WebStorm,Fedora;Windows;Windows Subsystem for Linux (WSL),Fedora;Windows Subsystem for Linux (WSL),Notion;Obsidian,Obsidian,Obsidian,Discord,Discord;Slack,Discord,,,,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,Finding reliable guidance from community-vetted answers;Engage with community by commenting on questions and answers or voting on questions and answers,"Yes, somewhat","No, and I don't plan to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,,
2389,2390,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Colleague;On the job training;Other online resources (e.g., videos, blogs, forum, online community)",Technical documentation;Books;Stack Overflow;How-to videos;Video-based Online Courses;Programming Games,API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base;Traditional public search engine,15,12,"Developer, full-stack",10 to 19 employees,I have little or no influence,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Customization;Reputation for quality and excellence;Frequent updates to features;Connected to an open source project,Australia,AUD	Australian dollar,95000.0,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript;Visual Basic (.Net),Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Dynamodb;Microsoft SQL Server;MySQL;PostgreSQL;SQLite,Cloud Firestore;Microsoft SQL Server;PostgreSQL;SQLite,Microsoft SQL Server;PostgreSQL;SQLite,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Microsoft Azure;Netlify;Render,Cloudflare;Digital Ocean;Firebase;Render;Vultr,Cloudflare;Digital Ocean;Render,AngularJS;ASP.NET;ASP.NET CORE;Astro;FastAPI;jQuery;React;Strapi;Vue.js,ASP.NET CORE;Astro;FastAPI;React;Strapi,ASP.NET CORE;Astro;FastAPI;React;Strapi,Rasberry Pi,Rasberry Pi,Rasberry Pi,.NET (5+) ;.NET Framework (1.0 - 4.8),.NET (5+) ;.NET MAUI;React Native;Xamarin,.NET (5+) ,MSBuild;npm;NuGet;Pip;Unity 3D;Visual Studio Solution;Vite;Webpack,MSBuild;npm;NuGet;Pip;Visual Studio Solution;Vite,MSBuild;npm;NuGet;Pip;Visual Studio Solution;Vite,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Android;Windows,Android;Windows,Azure Devops;GitHub Discussions,Azure Devops;GitHub Discussions;Obsidian;Wikis,Azure Devops;GitHub Discussions,Discord;Microsoft Teams;Telegram,Discord;Matrix;Telegram,Discord;Telegram,ChatGPT,,,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per week,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Engage with community by commenting on questions and answers or voting on questions and answers;Learning new-to-me technology/techniques,Neutral,"No, and I don't plan to",,,,,,,,,,,,,,,,Yes,Individual contributor,12.0,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,1-2 times a week,1-2 times a week,3-5 times a week,30-60 minutes a day,Less than 15 minutes a day,Amount of technical debt;Showing my contributions;Complexity of tech stack for deployment;Complexity of tech stack for build;Reliability of tools/systems used in work,None of these,Hybrid (on-prem and cloud),A coworker,Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Appropriate in length,Easy,62763.0,6.0
2411,2412,I am a developer by profession,45-54 years old,"Employed, full-time",Remote,Apples,Bootstrapping a business,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc)",Blogs;Written Tutorials;Coding sessions (live or recorded);Social Media;How-to videos,,32,29,"Developer, full-stack",10 to 19 employees,I have little or no influence,Start a free trial;Ask developers I know/work with;Ask a generative AI tool,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Customization;Integrated developer community;Quality support system,Australia,AUD	Australian dollar,130000.0,C#;C++;PowerShell;SQL,C#;C++;PowerShell;Rust,C#;C++;PowerShell,Microsoft SQL Server,,,,,,ASP.NET,ASP.NET CORE,,,,,.NET Framework (1.0 - 4.8),.NET Framework (1.0 - 4.8),.NET Framework (1.0 - 4.8),MSBuild;Webpack,MSBuild;Webpack,MSBuild;Webpack,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Windows,Windows,Jira,Jira,Jira,Microsoft Teams,Microsoft Teams,Microsoft Teams,,,,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow,Less than once per month or monthly,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,"Yes, somewhat",Yes,Very favorable,Improve accuracy in coding,Somewhat trust,"Good, but not great at handling complex tasks",Writing code;Debugging and getting help;Search for answers,,Learning about a codebase;Project planning;Documenting code;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Generating content or synthetic data,,,Writing code;Debugging and getting help;Search for answers,,,No,Missing or incorrect attribution for sources of data,Lack of proper training and education on new tools;Not everyone uses them,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,85886.0,
